DateTime,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008-1-10-33,2008,1,10,4,33.0,15,839.0,823,172,306.0,308.0,287.0,16.0,18.0,2521,10.0,9.0,0,0,16.0,0.0,0.0,0.0,0.0
2008-1-10-36,4016,2,20,8,72.0,85,1088.0,1160,1894,376.0,395.0,335.0,-32.0,-13.0,3008,19.0,22.0,0,0,,,,,
2008-1-10-38,2008,1,10,4,38.0,30,512.0,444,198,214.0,194.0,175.0,28.0,8.0,1449,8.0,31.0,0,0,0.0,0.0,20.0,0.0,8.0
2008-1-10-39,4016,2,20,8,78.0,70,1080.0,1122,2246,362.0,372.0,314.0,-2.0,8.0,2786,13.0,35.0,0,0,14.0,0.0,8.0,0.0,0.0
2008-1-10-4,20080,10,100,40,3989.0,6559,5525.0,5620,24707,1076.0,1081.0,836.0,-15.0,-10.0,5508,74.0,166.0,0,0,,,,,
2008-1-10-41,2008,1,10,4,41.0,2355,159.0,53,191,78.0,58.0,39.0,66.0,46.0,261,22.0,17.0,0,0,46.0,0.0,20.0,0.0,0.0
2008-1-10-44,4016,2,20,8,88.0,95,1074.0,1128,1906,406.0,413.0,362.0,-14.0,-7.0,3057,10.0,34.0,0,0,,,,,
2008-1-10-45,4016,2,20,8,90.0,110,1078.0,1153,600,348.0,363.0,309.0,-35.0,-20.0,2825,11.0,28.0,0,0,,,,,
2008-1-10-5,905608,451,4510,1804,247170.0,264909,347587.0,351231,1239963,53457.0,53162.0,42754.0,-1804.0,-2099.0,278048,3624.0,7079.0,0,0,47.0,0.0,800.0,0.0,290.0
2008-1-10-50,2008,1,10,4,50.0,2351,258.0,203,2945,128.0,132.0,112.0,55.0,59.0,699,10.0,6.0,0,0,55.0,0.0,0.0,0.0,0.0
2008-1-10-51,4016,2,20,8,102.0,2364,1518.0,1360,2447,516.0,536.0,461.0,78.0,98.0,4155,22.0,33.0,0,0,14.0,0.0,2.0,0.0,92.0
2008-1-10-52,4016,2,20,8,104.0,155,1083.0,1094,2270,339.0,339.0,303.0,-11.0,-11.0,2522,10.0,26.0,0,0,,,,,
2008-1-10-54,2008,1,10,4,54.0,55,604.0,554,1094,190.0,179.0,171.0,10.0,-1.0,1379,7.0,12.0,0,0,,,,,
2008-1-10-57,2008,1,10,4,57.0,100,553.0,610,2466,176.0,190.0,163.0,-17.0,-3.0,1464,4.0,9.0,0,0,,,,,
2008-1-10-58,2008,1,10,4,58.0,2355,748.0,655,246,290.0,300.0,265.0,53.0,63.0,2504,14.0,11.0,0,0,0.0,0.0,0.0,0.0,53.0
