DateTime,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2004-9-18-4,8016,36,72,24,1364.0,3857,2151.0,2175,2862,307.0,318,230.0,-24.0,-13.0,1613,26,51,0,0,0,0,0,0,0
2004-9-18-41,6012,27,54,18,123.0,130,1569.0,1583,4447,546.0,553,494.0,-14.0,-7.0,4163,19,33,0,0,0,0,0,0,0
2004-9-18-42,2004,9,18,6,42.0,20,716.0,712,236,214.0,232,195.0,4.0,22.0,1747,7,12,0,0,0,0,0,0,0
2004-9-18-44,2004,9,18,6,44.0,50,614.0,619,1743,210.0,209,192.0,-5.0,-6.0,1635,6,12,0,0,0,0,0,0,0
2004-9-18-46,2004,9,18,6,46.0,55,738.0,749,580,232.0,234,205.0,-11.0,-9.0,1825,6,21,0,0,0,0,0,0,0
2004-9-18-48,2004,9,18,6,48.0,45,606.0,609,300,198.0,204,171.0,-3.0,3.0,1536,7,20,0,0,0,0,0,0,0
2004-9-18-49,2004,9,18,6,49.0,50,527.0,540,2074,158.0,170,139.0,-13.0,-1.0,1189,3,16,0,0,0,0,0,0,0
2004-9-18-5,571140,2565,5130,1710,155190.0,164568,210093.0,213624,751727,28543.0,29296,22883.0,-1691.0,-938.0,152755,1878,3952,0,0,29,0,433,16,0
2004-9-18-50,2004,9,18,6,50.0,100,648.0,630,98,238.0,210,333.0,18.0,-10.0,1626,12,13,0,0,0,0,18,0,0
2004-9-18-51,2004,9,18,6,51.0,100,533.0,551,2408,162.0,171,146.0,-18.0,-9.0,1235,4,12,0,0,0,0,0,0,0
2004-9-18-53,2004,9,18,6,53.0,55,455.0,509,1548,182.0,194,163.0,-14.0,-2.0,1449,5,14,0,0,0,0,0,0,0
2004-9-18-56,2004,9,18,6,56.0,45,430.0,430,427,214.0,225,194.0,0.0,11.0,1576,4,16,0,0,0,0,0,0,0
2004-9-18-57,2004,9,18,6,57.0,100,552.0,603,154,175.0,183,154.0,-11.0,-3.0,1399,7,14,0,0,0,0,0,0,0
2004-9-18-6,2006004,9009,18018,6006,633371.0,641553,851556.0,861990,2142147,122169.0,122857,97958.0,-1424.0,-1735.0,704578,7229,16686,0,9,543,28,3905,0,170
2004-9-18-7,2016024,9054,18108,6036,733812.0,737084,965452.0,967251,1821076,140188.0,138507,113414.0,2817.0,288.0,833075,6825,19344,0,7,1277,334,6337,23,188
2004-9-18-8,2390772,10737,21474,7158,989240.0,987231,1263892.0,1259252,2195239,168593.0,167741,138355.0,3609.0,2649.0,1015917,7726,22385,0,1,2471,642,6707,0,394
2004-9-18-9,2300592,10332,20664,6888,1066010.0,1056946,1302537.0,1291173,2366124,149887.0,149387,120482.0,6844.0,6344.0,879431,6802,21865,0,0,3160,2043,6367,0,947
2004-9-18-n,873744,3924,7848,2616,,542531,,613825,1077591,,45754,,,,227250,0,0,436,0,0,0,0,0,0
2004-9-19-1,32064,144,304,112,1697.0,14758,9162.0,13680,23789,2856.0,3162,2721.0,514.0,699.0,23401,92,238,0,1,392,0,52,0,118
2004-9-19-10,2420832,10872,22952,8456,1242506.0,1242441,1492808.0,1496911,2548737,143502.0,147190,117243.0,-1023.0,2665.0,846119,8223,18079,0,0,2592,0,2202,31,1162
2004-9-19-11,2428848,10908,23028,8484,1369430.0,1369404,1620418.0,1625701,2371413,152206.0,155157,126519.0,505.0,3346.0,917529,7333,18497,0,3,2818,78,2833,84,1189
2004-9-19-12,2434860,10935,23085,8505,1494302.0,1488897,1760784.0,1758615,2450058,149982.0,153098,124804.0,1089.0,4205.0,901443,7739,18141,0,0,2247,35,3038,129,2046
2004-9-19-13,2567124,11529,24339,8967,1701179.0,1693310,1976390.0,1972280,2601563,153420.0,155710,125505.0,3453.0,5509.0,888858,7938,20645,0,1,2917,49,2833,0,2488
2004-9-19-14,2314620,10395,21945,8085,1651115.0,1641745,1874615.0,1870004,2363919,133169.0,135839,108376.0,3871.0,6410.0,760957,7365,17367,0,1,2743,16,3174,0,2936
2004-9-19-15,2521032,11322,23902,8806,1922775.0,1914029,2157863.0,2151012,2650578,145008.0,146423,115043.0,6531.0,7946.0,811881,9308,21185,0,0,3855,8,3228,36,3492
2004-9-19-16,2356704,10584,22344,8232,1915687.0,1904177,2103002.0,2115001,2348027,140987.0,143684,114410.0,7342.0,9950.0,811580,8096,18366,0,1,3845,212,3364,27,4175
2004-9-19-17,2663316,11961,25251,9303,2299656.0,2283049,2518195.0,2513709,2694330,160339.0,164180,128210.0,7686.0,11527.0,913953,10395,21241,0,0,3986,186,3667,4,4708
2004-9-19-18,2494980,11205,23655,8715,2279532.0,2260044,2483280.0,2479470,2457812,152288.0,155286,122282.0,9770.0,12768.0,873483,7851,20804,0,0,3763,399,4289,27,5295
2004-9-19-19,2142276,9621,20311,7483,2059877.0,2040050,2214221.0,2216167,2253809,120004.0,121857,95555.0,10854.0,12707.0,662291,6583,17674,0,0,4398,200,4110,115,5092
